"ID","Sotmean","stress_level","timeInTrial","speed","nodeDistance","Efficiency","PointingError","SI","SpatialAnxiety","SBSOD"
"508",46.33,2.72,14.86,0.85,12.6,0.53,66.77,0.22,3.54,2.33
"510",7.58,3.27,12.56,0.87,11,0.26,54.32,0.39,2.23,2.27
"511",29.92,2,12.53,0.88,11.04,0.28,64.85,0.39,2.77,4.87
"512",9,1.68,11.59,0.87,10.2,0.14,52.36,0.76,1.92,6
"513",26.33,2.88,9.85,1.26,12.23,0.43,73.58,0.5,2.31,4.47
"514",11.67,2.58,11.39,0.96,10.96,0.23,48.14,0.71,3,3.33
"515",7.92,2.27,11.12,0.9,9.77,0.07,37.8,0.67,1.77,4.87
"517",17.58,2.04,10.89,0.88,9.62,0.11,49.75,0.72,2.23,5.67
"519",5.58,4.5,9.19,1.3,12,0.31,58.95,0.65,2.85,5.6
"521",5,4.21,11.89,0.89,10.46,0.21,82.34,0.8,2.77,2.53
"522",21.33,1.33,10.1,1.07,10.83,0.21,22.36,0.67,2.38,3.4
"523",51,3.08,17.8,0.71,12.48,0.48,98.41,0.31,2.77,4.2
"524",8.75,3,13.73,1.01,13.96,0.68,75.28,0.18,2.23,5.33
"525",61.42,3.04,12.58,0.97,12,0.32,76.46,0.53,2.38,4.07
"527",19.83,3.2,14.39,0.86,12.36,0.37,39.51,0.53,1.92,5.33
"528",43.33,4,15.28,0.9,13.77,0.59,84.74,0.24,2.08,4.87
"529",32.67,2.24,10.63,0.99,10.32,0.16,56.55,0.82,2,6.07
"535",58.67,1.77,13.03,1.04,13.69,0.58,71.35,0.12,2.38,3.67
"536",19.67,2.69,14.24,0.95,13.42,0.57,78.87,0.11,3,3.2
"537",27.25,3.96,11.3,0.95,10.8,0.23,75.37,0.59,2.92,4.47
"538",24.17,2.81,11.68,1.15,13.04,0.5,74.49,0.44,3.15,4
"539",7,3.42,14.84,0.77,11.69,0.36,53.44,0.5,2.08,3.67
"542",9.67,3.88,13.1,1.39,18,1.1,93.81,0.18,3.31,2.67
"544",9.67,1.88,10.9,0.97,10.62,0.17,58.77,0.61,2.23,5.6
"545",21.33,1.67,12.62,0.85,10.46,0.26,87.41,0.56,2.54,3.73
"548",12.92,2.6,10.15,1.32,13.44,0.51,68.22,0.44,2.92,2.73
"550",23.58,2.4,9.82,1.07,10.36,0.2,49.31,0.67,4.08,3
"551",14.83,4.58,8.73,1.18,10,0.15,34.04,0.72,3.08,3.73
"552",64.33,2.21,14.02,0.84,11.46,0.34,91.4,0.79,2.08,4
"554",21.08,1.77,12.72,0.92,11.54,0.31,53.31,0.41,2.23,3.47
"563",7,2.04,11.24,0.89,10.04,0.14,63.13,0.67,2.85,5.4
"565",49.58,2.27,10.06,0.98,9.69,0.1,33.33,0.62,2.62,2.8
"566",11.92,2.56,9.29,1,9.36,0.02,31.68,0.75,2.54,4.8
"567",51.25,2.19,12.98,0.91,11.85,0.33,46.88,0.39,2.69,3.53
"569",17,2.54,11.65,0.96,11.21,0.31,69.49,0.44,2.69,4.87
"570",60.67,3.33,13.77,0.94,12.88,0.55,86.31,0.43,2.08,4.8
"572",37.33,1.75,11.09,0.98,11.04,0.32,29.53,0.5,1.85,6.07
"573",39.42,4.42,16.14,1.05,16.67,1.11,73.16,0.13,3.85,3.33
"575",NA,5.04,16.57,0.69,11.12,0.29,88.99,0.44,3,4.4
"579",33.58,2.81,12.89,0.84,10.77,0.27,50.38,0.4,2.54,4.53
"581",66.75,2.12,10.2,1.13,11.36,0.34,48.91,0.29,2.38,4.27
"583",36.83,2.31,10.72,0.93,9.96,0.13,42.9,0.61,2.08,4.93
"591",9.58,1.73,11.38,0.89,10.15,0.18,27.87,0.71,2.46,4.33
"592",11.17,1.46,12.12,1.04,12.5,0.45,74.22,0.33,2.15,5.13
"593",99.58,2.16,13.01,0.78,10.04,0.17,86.7,0.56,2,5.4
"594",35.67,1.04,9.48,0.98,9.31,0.03,16.51,0.89,2,3.8
"596",35.08,1,18.35,0.58,10.69,0.19,91.28,0.85,1.15,4.47
"598",13.42,3.5,15.51,0.87,13.65,0.59,86.57,0.22,2.92,3.93
